status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
1.0,1.0,38.0,1.0,41.0,6.0
1.0,1.0,38.0,1.75,15.0,6.0
0.0,2.0,26.0,0.0,1.0,13.0
0.0,1.0,51.0,0.0,1.0,22.0
2.0,2.0,27.0,0.0,7.0,14.0
1.0,1.0,51.0,0.0,1.0,17.0
2.0,2.0,35.0,0.0,15.0,22.0
4.0,2.0,59.6,0.0,20.0,17.0
4.0,2.0,59.6,0.0,20.0,17.0
1.0,1.0,42.0,8.0,44.0,14.0
2.0,2.0,26.0,0.0,1.0,17.0
4.0,2.0,44.0,8.0,1.0,14.0
3.0,1.0,32.2,2.0,15.0,17.0
2.0,1.0,34.4,2.0,15.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
1.0,1.0,21.0,2.0,15.0,0.0
2.0,1.0,55.0,0.0,15.0,14.0
0.0,1.0,61.0,2.0,7.0,14.0
0.0,1.0,41.0,0.0,1.0,14.0
1.0,1.0,57.0,0.0,44.0,22.0
1.0,1.0,43.0,2.0,41.0,14.0
2.0,1.0,10.0,9.0,15.0,17.0
0.0,1.0,13.0,2.0,15.0,14.0
2.0,1.0,23.0,2.0,15.0,23.0
1.0,1.0,32.0,2.0,41.0,23.0
1.0,1.0,68.0,0.0,44.0,17.0
2.0,1.0,33.0,8.0,1.0,14.0
1.0,1.0,43.0,8.0,20.0,14.0
1.0,1.0,26.0,9.0,115.0,0.0
2.0,2.0,24.0,9.0,1.0,13.0
2.0,1.0,36.0,9.0,1.0,0.0
2.0,2.0,20.0,9.0,15.0,14.0
4.0,1.0,34.0,9.0,44.0,22.0
4.0,2.0,30.0,9.0,7.0,22.0
4.0,2.0,27.0,8.0,15.0,14.0
2.0,1.0,21.0,9.0,15.0,14.0
4.0,2.0,15.0,8.0,15.0,14.0
4.0,1.0,31.0,9.0,7.0,14.0
4.0,1.0,31.0,9.0,44.0,22.0
4.0,1.0,32.0,8.0,144.0,22.0
3.0,1.0,44.0,8.0,1.0,17.0
2.0,1.0,20.0,0.0,15.0,0.0
2.0,1.0,30.0,8.0,144.0,5.0
4.0,2.0,29.0,0.0,17.0,5.0
2.0,2.0,9.0,10.0,15.0,22.0
1.0,1.0,26.0,10.0,15.0,22.0
2.0,1.0,39.0,10.0,44.0,14.0
3.0,1.0,41.4,0.0,20.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
2.0,1.0,19.0,10.0,15.0,0.0
1.0,2.0,30.0,8.0,15.0,14.0
2.0,2.0,19.0,8.0,1.0,22.0
2.0,1.0,27.0,10.0,1.0,0.0
1.0,2.0,37.0,10.0,7.0,14.0
3.0,2.0,9.0,9.0,7.0,22.0
